node1,node2
4,55
4,0
45,1
59,0
58,1
55,11
8,110
8,0
126,190
85,0
74,0
145,51
129,0
28,12
108,2
30,0
163,11
8,137
82,1
57,2
12,98
130,17
123,11
6,2
18,1
21,0
20,120
119,7
33,38
4,2
91,0
8,2
93,125
19,2
154,1
1,179
11,7
48,1
24,1
38,0
194,0
3,42
35,10
183,0
15,7
64,0
53,0
142,2
87,2
128,12
193,77
47,2
22,12
185,137
94,7
51,2
76,1
65,1
0,0
160,7
132,0
3,17
122,53
43,7
131,129
12,38
3,35
26,0
15,0
11,137
184,1
38,11
54,1
144,1
133,1
164,98
199,10
3,1
93,1
28,0
155,7
14,1
138,0
149,0
0,2
43,0
122,0
141,35
176,2
166,98
74,143
153,43
97,53
16,1
136,2
73,7
30,36
1,30
56,0
100,0
45,0
34,0
111,0
9,44
28,2
114,35
66,50
126,0
9,7
32,2
68,1
33,1
112,1
167,1
113,0
13,7
16,58
101,7
152,110
62,0
152,0
139,0
39,7
11,25
56,2
22,0
77,0
28,50
177,2
20,12
10,44
5,2
134,77
60,2
9,0
29,2
140,1
192,158
129,1
191,10
161,42
172,42
13,0
79,0
35,0
10,1
1,7
52,25
67,44
196,137
64,87
117,2
0,27
63,10
28,107
22,2
12,1
102,1
28,52
175,7
182,0
12,10
3,7
14,7
9,2
75,2
118,0
3,80
6,42
16,44
127,12
16,108
13,2
1,0
90,2
104,1
0,11
40,2
54,0
174,1
109,0
30,42
20,7
3,0
14,0
69,0
12,186
124,0
148,0
132,38
16,37
96,2
121,1
33,7
44,7
99,7
1,2
8,17
62,52
1,11
81,1
154,7
72,53
57,10
48,7
4,35
82,0
31,0
86,0
141,0
14,2
3,2
4,1
69,2
70,1
3,11
57,46
94,1
14,11
61,7
169,162
19,1
33,0
25,51
88,0
189,0
159,42
8,1
30,1
76,7
16,2
56,38
48,0
103,0
63,7
3,105
197,25
12,71
144,7
168,7
60,1
187,42
116,0
181,1
171,0
195,0
65,0
165,2
48,2
11,17
29,53
28,42
95,7
84,7
12,0
89,0
78,0
55,7
1,36
27,0
93,0
105,2
198,53
10,2
0,1
25,0
65,2
146,0
11,0
28,35
29,0
117,3
150,0
4,44
170,12
12,2
23,2
83,53
55,0
67,2
158,1
32,1
92,1
4,7
1,157
188,11
93,2
180,7
107,1
28,1
8,7
74,7
1,1
151,7
2,0
46,0
14,38
6,0
106,2
43,147
